accession,abundance WT,abundance FRDA,p-value
P62820,983998.0059738769,999289.3269058503,0.8851709308277744
Q3KQV9,72543.5200269003,66999.50773331753,0.7743786339155381
Q9Y4R8,312505.709684966,322890.3746868027,0.888498471786758
O95163,98233.26008768876,96835.75962396582,0.8810469128133782
Q9UK76,822961.6200702753,817036.5666361371,0.978943480340658
Q4G0F5,112275.48231594094,116925.72209778089,0.832743739150699
Q5VZK9,158129.89881264832,161648.77898956335,0.9301275710623467
P42229,400047.30160322203,389764.77477910434,0.80458745050791
Q9Y248,128141.16126570698,130777.42863161299,0.9090564896725348
Q9HCG8,35005.10281220693,36873.013283821936,0.7580232640152988
Q8IZ83,391999.24102612963,391831.35193373635,0.9989919877089375
Q14498,210427.55219847665,218678.8943562743,0.8712648900740492
Q6ZNJ1,296225.617812472,311046.3688154863,0.7942122042081287
P62736,154437748.95585668,153582034.09047934,0.984709520583418
P07954,949842.0418849156,812736.9859453241,0.6899308072345427
P49643,142376.85462058632,142523.30727191866,0.9962235892047291
Q6ULP2,83765.57342924514,84198.66912310343,0.98683817461628
P52434,600748.6907865593,711171.2131545547,0.6774349761501695
P62906,5004233.537692101,4861496.128416093,0.897576457969894
P52565,7129619.4515128555,6806210.31308597,0.7870909356780479
Q9H9A5,36815.17142396227,37869.28876601117,0.8863498606141413
Q14974,3184584.21828917,3235366.4000592604,0.9460178928249786
O00442,141325.69898729998,130285.668598118,0.775169111737043
Q9UL46,12620334.400501808,11906630.609391859,0.7972166809066302
Q9BTW9,314166.9603989453,331635.6450641123,0.8438160225624173
Q9H3S7,163825.82861508397,165363.93078075734,0.9362600297133375
Q86TB9,98678.77989022523,95800.20676628727,0.8616492967968001
P62899,801596.3513256359,786045.4078582274,0.8795421209795764
Q9UGP4,50968.78235969006,52819.839866251634,0.874706248529326
Q6P2E9,173106.01179129464,170059.6357530963,0.8186496622788667
P49189,626320.59397353,597423.5095717873,0.8095110380073915
O60934,98781.27030484965,93878.2747097047,0.7637057509836169
O00571,1447341.2625647432,1406155.4954071902,0.8388119695923786
